s,a,r,sp
1,0,10,2
20,1,0,13
13,1,0,16
16,0,0,0
0,1,-10,2
19,0,0,1
1,0,10,2
19,0,0,1
1,1,10,2
12,0,0,1
1,1,10,2
19,1,0,0
0,1,-10,2
17,1,0,0
0,0,-10,2
15,1,0,0
0,0,-10,2
14,1,0,0
0,0,-10,2
18,1,0,18
18,0,0,1
1,0,10,2
12,0,0,0
0,1,-10,2
11,1,0,14
14,1,0,0
0,0,-10,2
11,1,0,19
19,1,0,0
0,1,-10,2
13,1,0,0
0,1,-10,2
10,0,0,1
1,0,10,2
10,1,0,20
20,0,0,1
1,0,10,2
16,1,0,18
18,0,0,0
0,1,-10,2
14,0,0,1
1,1,10,2
6,0,0,1
1,1,10,2
15,0,0,0
0,1,-10,2
5,1,0,16
16,0,0,0
0,0,-10,2
11,1,0,14
14,1,0,18
18,1,0,0
0,0,-10,2
10,1,0,20
20,1,0,0
0,1,-10,2
13,1,0,18
18,0,0,1
1,1,10,2
14,0,0,0
0,0,-10,2
12,1,0,0
0,1,-10,2
12,1,0,15
15,0,0,0
0,0,-10,2
15,0,0,0
0,1,-10,2
12,1,0,13
13,1,0,16
16,0,0,0
0,0,-10,2
9,0,0,1
1,1,10,2
19,0,0,1
1,1,10,2
8,1,0,15
15,1,0,0
0,0,-10,2
20,0,0,1
1,0,10,2
14,1,0,20
20,0,0,1
1,1,10,2
14,1,0,0
0,1,-10,2
11,1,0,19
19,0,0,0
0,1,-10,2
11,1,0,13
13,1,0,20
20,1,0,0
0,0,-10,2
20,0,0,1
1,1,10,2
19,1,0,0
0,0,-10,2
12,1,0,20
20,0,0,1
1,1,10,2
12,1,0,15
15,0,0,0
0,1,-10,2
11,0,0,1
1,0,10,2
18,0,0,1
1,0,10,2
15,1,0,20
20,1,0,0
0,0,-10,2
12,0,0,0
0,0,-10,2
11,1,0,12
12,1,0,17
17,0,0,1
1,0,10,2
9,1,0,12
12,1,0,14
14,1,0,0
0,1,-10,2
11,0,0,0
0,1,-10,2
8,0,0,0
0,0,-10,2
19,1,0,0
0,0,-10,2
13,1,0,20
20,1,0,0
0,1,-10,2
6,1,0,16
16,1,0,0
0,1,-10,2
19,1,0,19
19,1,0,0
0,1,-10,2
10,0,0,1
1,0,10,2
13,0,0,1
1,1,10,2
18,1,0,0
0,1,-10,2
13,0,0,0
0,0,-10,2
14,0,0,0
0,1,-10,2
7,0,0,1
1,0,10,2
13,1,0,14
14,0,0,1
1,1,10,2
6,1,0,16
16,0,0,0
0,0,-10,2
12,0,0,0
0,1,-10,2
12,0,0,0
0,0,-10,2
13,1,0,13
13,0,0,0
0,1,-10,2
12,1,0,18
18,0,0,0
0,1,-10,2
13,1,0,19
19,1,0,0
0,0,-10,2
8,0,0,0
0,0,-10,2
12,1,0,14
14,1,0,17
17,0,0,0
0,0,-10,2
17,0,0,0
0,0,-10,2
20,0,0,1
1,1,10,2
20,0,0,1
1,0,10,2
11,0,0,0
0,0,-10,2
10,0,0,0
0,1,-10,2
11,0,0,1
1,1,10,2
5,1,0,15
15,0,0,1
1,0,10,2
17,0,0,0
0,1,-10,2
8,0,0,0
0,1,-10,2
12,0,0,0
0,1,-10,2
16,0,0,0
0,1,-10,2
15,1,0,18
18,1,0,0
0,0,-10,2
18,1,0,0
0,0,-10,2
10,1,0,20
20,0,0,1
1,0,10,2
13,0,0,0
0,1,-10,2
19,0,0,1
1,1,10,2
16,0,0,0
0,1,-10,2
18,1,0,0
0,1,-10,2
14,0,0,1
1,0,10,2
19,1,0,0
0,1,-10,2
20,1,0,16
16,1,0,0
0,0,-10,2
12,0,0,0
0,0,-10,2
12,1,0,0
0,1,-10,2
11,1,0,0
0,1,-10,2
20,1,0,20
20,1,0,0
0,0,-10,2
12,0,0,0
0,1,-10,2
17,1,0,0
0,1,-10,2
7,1,0,12
12,1,0,0
0,0,-10,2
13,0,0,1
1,0,10,2
19,0,0,1
1,1,10,2
17,1,0,18
18,0,0,1
1,1,10,2
17,1,0,0
0,0,-10,2
14,1,0,0
0,1,-10,2
5,0,0,0
0,1,-10,2
6,1,0,16
16,1,0,17
17,0,0,0
0,1,-10,2
14,0,0,0
0,1,-10,2
16,1,0,0
0,0,-10,2
17,0,0,1
1,1,10,2
13,0,0,1
1,0,10,2
13,1,0,0
0,1,-10,2
11,0,0,1
1,0,10,2
6,1,0,11
11,0,0,1
1,0,10,2
19,0,0,1
1,0,10,2
12,1,0,16
16,0,0,0
0,0,-10,2
6,0,0,0
0,1,-10,2
15,1,0,17
17,1,0,0
0,1,-10,2
7,0,0,0
0,1,-10,2
12,1,0,0
0,1,-10,2
20,1,0,17
17,1,0,0
0,1,-10,2
20,0,0,1
1,1,10,2
16,0,0,0
0,0,-10,2
19,0,0,0
0,0,-10,2
11,0,0,1
1,1,10,2
19,0,0,1
1,1,10,2
7,1,0,18
18,0,0,0
0,0,-10,2
13,1,0,16
16,0,0,0
0,0,-10,2
11,0,0,0
0,0,-10,2
16,1,0,17
17,1,0,0
0,0,-10,2
12,1,0,12
12,0,0,0
0,0,-10,2
12,0,0,0
0,1,-10,2
15,0,0,1
1,0,10,2
19,0,0,1
1,1,10,2
14,1,0,15
15,0,0,1
1,1,10,2
5,1,0,14
14,0,0,1
1,1,10,2
6,1,0,12
12,0,0,0
0,1,-10,2
7,0,0,0
0,1,-10,2
12,0,0,1
1,1,10,2
14,0,0,1
1,0,10,2
14,0,0,0
0,0,-10,2
9,1,0,20
20,0,0,1
1,1,10,2
18,1,0,18
18,1,0,0
0,1,-10,2
12,0,0,1
1,0,10,2
16,0,0,1
1,1,10,2
12,0,0,0
0,0,-10,2
18,0,0,0
0,0,-10,2
4,1,0,14
14,1,0,0
0,0,-10,2
17,1,0,18
18,0,0,1
1,1,10,2
7,0,0,0
0,1,-10,2
7,0,0,1
1,1,10,2
3,1,0,13
13,1,0,0
0,0,-10,2
19,1,0,0
0,1,-10,2
18,1,0,0
0,0,-10,2
13,1,0,20
20,0,0,1
1,1,10,2
14,1,0,17
17,1,0,0
0,0,-10,2
20,0,0,1
1,0,10,2
19,0,0,1
1,0,10,2
8,0,0,1
1,1,10,2
15,1,0,17
17,1,0,0
0,0,-10,2
16,0,0,0
0,0,-10,2
12,1,0,19
19,1,0,0
0,1,-10,2
13,1,0,0
0,0,-10,2
12,0,0,0
0,1,-10,2
17,0,0,0
0,0,-10,2
12,1,0,20
20,0,0,1
1,1,10,2
11,1,0,12
12,1,0,18
18,0,0,1
1,1,10,2
8,1,0,18
18,1,0,0
0,1,-10,2
6,0,0,1
1,0,10,2
16,1,0,0
0,1,-10,2
20,1,0,17
17,0,0,1
1,0,10,2
12,1,0,19
19,0,0,1
1,1,10,2
11,0,0,0
0,0,-10,2
17,0,0,0
0,0,-10,2
16,0,0,0
0,1,-10,2
12,0,0,0
0,1,-10,2
11,1,0,0
0,0,-10,2
11,1,0,16
16,0,0,0
0,1,-10,2
10,1,0,18
18,1,0,0
0,0,-10,2
13,1,0,0
0,1,-10,2
8,0,0,0
0,1,-10,2
13,1,0,0
0,0,-10,2
13,0,0,0
0,1,-10,2
19,0,0,1
1,1,10,2
8,1,0,10
10,0,0,0
0,0,-10,2
11,0,0,0
0,0,-10,2
13,1,0,17
17,1,0,0
0,0,-10,2
20,1,0,13
13,1,0,14
14,1,0,0
0,0,-10,2
16,0,0,0
0,1,-10,2
15,1,0,0
0,0,-10,2
20,0,0,0
0,1,-10,2
20,1,0,15
15,0,0,0
0,0,-10,2
12,1,0,0
0,1,-10,2
18,0,0,0
0,1,-10,2
13,0,0,0
0,0,-10,2
19,0,0,1
1,1,10,2
12,0,0,0
0,0,-10,2
12,1,0,11
11,0,0,1
1,0,10,2
10,1,0,17
17,1,0,0
0,0,-10,2
14,0,0,0
0,0,-10,2
17,1,0,16
16,0,0,0
0,1,-10,2
11,0,0,1
1,0,10,2
20,0,0,1
1,1,10,2
20,0,0,1
1,0,10,2
11,1,0,14
14,0,0,1
1,0,10,2
19,0,0,1
1,1,10,2
13,1,0,14
14,1,0,20
20,0,0,1
1,1,10,2
17,0,0,0
0,1,-10,2
17,1,0,0
0,1,-10,2
20,1,0,11
11,0,0,0
0,0,-10,2
6,0,0,1
1,1,10,2
20,0,0,1
1,1,10,2
11,0,0,1
1,0,10,2
15,0,0,1
1,1,10,2
14,0,0,0
0,0,-10,2
9,1,0,20
20,1,0,13
13,0,0,0
0,1,-10,2
17,0,0,0
0,1,-10,2
6,1,0,10
10,0,0,0
0,0,-10,2
16,1,0,20
20,1,0,0
0,0,-10,2
8,1,0,17
17,0,0,1
1,1,10,2
11,1,0,15
15,1,0,0
0,0,-10,2
12,1,0,16
16,1,0,0
0,0,-10,2
17,1,0,0
0,0,-10,2
19,1,0,0
0,0,-10,2
13,0,0,0
0,1,-10,2
16,1,0,0
0,0,-10,2
10,0,0,0
0,1,-10,2
17,0,0,0
0,0,-10,2
16,0,0,0
0,0,-10,2
11,0,0,0
0,0,-10,2
15,1,0,19
19,0,0,1
1,1,10,2
12,0,0,1
1,0,10,2
12,0,0,0
0,1,-10,2
18,1,0,19
19,1,0,14
14,0,0,0
0,1,-10,2
12,1,0,19
19,0,0,1
1,1,10,2
11,0,0,1
1,0,10,2
19,1,0,16
16,1,0,0
0,1,-10,2
15,1,0,19
19,1,0,0
0,0,-10,2
13,0,0,0
0,0,-10,2
13,0,0,0
0,0,-10,2
10,1,0,12
12,1,0,15
15,0,0,0
0,0,-10,2
18,1,0,0
0,0,-10,2
20,0,0,1
1,0,10,2
9,0,0,0
0,1,-10,2
14,1,0,16
16,1,0,0
0,1,-10,2
13,1,0,0
0,0,-10,2
8,0,0,0
0,1,-10,2
11,0,0,0
0,0,-10,2
11,1,0,16
16,1,0,0
0,0,-10,2
11,0,0,0
0,1,-10,2
16,0,0,0
0,0,-10,2
8,1,0,18
18,0,0,1
1,0,10,2
13,1,0,0
0,1,-10,2
18,1,0,0
0,1,-10,2
15,0,0,0
0,1,-10,2
18,0,0,0
0,0,-10,2
12,0,0,1
1,1,10,2
16,1,0,0
0,1,-10,2
13,1,0,16
16,0,0,0
0,1,-10,2
10,1,0,14
14,1,0,20
20,0,0,1
1,0,10,2
19,0,0,1
1,1,10,2
19,1,0,0
0,1,-10,2
5,0,0,0
0,0,-10,2
10,1,0,20
20,1,0,0
0,0,-10,2
15,1,0,20
20,0,0,1
1,1,10,2
12,1,0,15
15,1,0,18
18,0,0,1
1,1,10,2
12,1,0,20
20,0,0,1
1,0,10,2
14,0,0,0
0,0,-10,2
18,1,0,15
15,1,0,0
0,1,-10,2
19,1,0,0
0,0,-10,2
11,1,0,0
0,0,-10,2
6,0,0,0
0,0,-10,2
20,0,0,1
1,1,10,2
10,0,0,1
1,1,10,2
10,0,0,0
0,0,-10,2
13,0,0,0
0,0,-10,2
18,0,0,1
1,1,10,2
12,0,0,0
0,0,-10,2
16,1,0,0
0,1,-10,2
18,1,0,18
18,0,0,0
0,1,-10,2
16,0,0,0
0,0,-10,2
11,1,0,0
0,0,-10,2
10,1,0,19
19,1,0,0
0,0,-10,2
7,1,0,14
14,1,0,18
18,1,0,0
0,0,-10,2
13,0,0,0
0,1,-10,2
15,1,0,0
0,1,-10,2
8,1,0,14
14,0,0,1
1,0,10,2
18,1,0,20
20,0,0,1
1,0,10,2
11,0,0,1
1,0,10,2
15,1,0,0
0,1,-10,2
7,1,0,14
14,0,0,0
0,1,-10,2
19,0,0,1
1,0,10,2
18,0,0,0
0,0,-10,2
11,1,0,0
0,0,-10,2
14,0,0,1
1,0,10,2
15,1,0,0
0,1,-10,2
14,1,0,0
0,0,-10,2
18,0,0,0
0,1,-10,2
8,1,0,17
17,1,0,19
19,0,0,0
0,1,-10,2
12,0,0,0
0,1,-10,2
11,0,0,0
0,0,-10,2
11,1,0,0
0,0,-10,2
13,0,0,0
0,1,-10,2
18,0,0,0
0,1,-10,2
16,0,0,1
1,0,10,2
13,0,0,1
1,1,10,2
9,0,0,0
0,0,-10,2
16,1,0,0
0,0,-10,2
6,0,0,1
1,1,10,2
13,0,0,1
1,0,10,2
15,1,0,19
19,0,0,1
1,0,10,2
18,1,0,20
20,1,0,0
0,0,-10,2
11,0,0,0
0,0,-10,2
9,0,0,0
0,1,-10,2
14,0,0,0
0,1,-10,2
12,1,0,17
17,1,0,0
0,0,-10,2
8,1,0,13
13,0,0,1
1,0,10,2
19,1,0,0
0,1,-10,2
13,0,0,0
0,1,-10,2
16,0,0,0
0,0,-10,2
20,0,0,0
0,0,-10,2
17,1,0,0
0,0,-10,2
16,0,0,0
0,0,-10,2
17,0,0,0
0,0,-10,2
15,1,0,11
11,0,0,1
1,0,10,2
4,0,0,1
1,1,10,2
19,1,0,12
12,1,0,15
15,1,0,0
0,1,-10,2
13,1,0,15
15,0,0,1
1,0,10,2
12,0,0,0
0,0,-10,2
19,0,0,1
1,0,10,2
15,1,0,0
0,1,-10,2
16,0,0,1
1,1,10,2
13,0,0,0
0,0,-10,2
15,1,0,16
16,0,0,0
0,1,-10,2
17,1,0,0
0,0,-10,2
13,0,0,0
0,0,-10,2
7,1,0,9
9,0,0,1
1,1,10,2
10,1,0,15
15,0,0,1
1,1,10,2
18,0,0,1
1,0,10,2
15,1,0,0
0,0,-10,2
19,0,0,0
0,0,-10,2
14,1,0,0
0,1,-10,2
11,0,0,0
0,1,-10,2
13,1,0,13
13,0,0,0
0,0,-10,2
17,0,0,1
1,1,10,2
8,1,0,18
18,0,0,1
1,1,10,2
19,1,0,0
0,0,-10,2
12,1,0,0
0,1,-10,2
16,0,0,0
0,1,-10,2
9,0,0,0
0,0,-10,2
11,0,0,1
1,1,10,2
16,0,0,0
0,0,-10,2
10,1,0,18
18,1,0,0
0,1,-10,2
16,0,0,1
1,1,10,2
8,1,0,13
13,0,0,1
1,0,10,2
12,1,0,0
0,0,-10,2
13,1,0,0
0,0,-10,2
11,1,0,12
12,1,0,0
0,1,-10,2
13,1,0,14
14,0,0,0
0,1,-10,2
18,0,0,1
1,0,10,2
12,1,0,13
13,0,0,1
1,0,10,2
16,1,0,19
19,1,0,0
0,0,-10,2
11,1,0,17
17,1,0,19
19,0,0,1
1,1,10,2
19,0,0,1
1,1,10,2
9,0,0,0
0,1,-10,2
11,0,0,1
1,0,10,2
5,0,0,0
0,1,-10,2
20,0,0,1
1,1,10,2
20,1,0,20
20,1,0,0
0,1,-10,2
19,1,0,0
0,0,-10,2
12,1,0,0
0,1,-10,2
14,1,0,14
14,0,0,0
0,0,-10,2
16,0,0,0
0,0,-10,2
7,0,0,0
0,0,-10,2
13,0,0,1
1,1,10,2
10,1,0,20
20,1,0,0
0,1,-10,2
19,1,0,0
0,0,-10,2
13,0,0,0
0,1,-10,2
7,1,0,14
14,0,0,1
1,1,10,2
12,1,0,15
15,1,0,0
0,1,-10,2
15,0,0,1
1,0,10,2
10,0,0,1
1,0,10,2
11,1,0,20
20,1,0,0
0,1,-10,2
12,0,0,0
0,0,-10,2
15,0,0,1
1,0,10,2
14,0,0,0
0,0,-10,2
17,1,0,0
0,1,-10,2
12,1,0,16
16,0,0,0
0,0,-10,2
13,0,0,0
0,0,-10,2
12,1,0,16
16,0,0,0
0,0,-10,2
16,0,0,0
0,0,-10,2
17,0,0,1
1,1,10,2
15,0,0,0
0,1,-10,2
9,1,0,18
18,0,0,1
1,1,10,2
14,0,0,1
1,0,10,2
10,0,0,1
1,0,10,2
13,1,0,15
15,0,0,1
1,0,10,2
16,0,0,0
0,1,-10,2
16,0,0,1
1,0,10,2
16,1,0,0
0,0,-10,2
8,0,0,0
0,1,-10,2
10,1,0,20
20,0,0,1
1,0,10,2
16,0,0,0
0,0,-10,2
13,1,0,15
15,1,0,15
15,1,0,19
19,0,0,1
1,0,10,2
13,0,0,0
0,1,-10,2
11,0,0,1
1,0,10,2
18,0,0,1
1,0,10,2
17,1,0,17
17,0,0,0
0,1,-10,2
18,1,0,20
20,1,0,0
0,0,-10,2
12,0,0,0
0,0,-10,2
10,0,0,0
0,0,-10,2
3,0,0,0
0,0,-10,2
18,0,0,0
0,0,-10,2
19,0,0,1
1,0,10,2
18,0,0,0
0,1,-10,2
16,1,0,0
0,1,-10,2
19,0,0,1
1,0,10,2
10,1,0,13
13,0,0,0
0,1,-10,2
17,1,0,20
20,0,0,1
1,0,10,2
11,1,0,19
19,1,0,0
0,1,-10,2
13,0,0,0
0,0,-10,2
8,1,0,15
15,0,0,0
0,1,-10,2
18,0,0,0
0,1,-10,2
20,1,0,17
17,1,0,0
0,1,-10,2
6,1,0,15
15,1,0,19
19,0,0,1
1,1,10,2
16,0,0,0
0,1,-10,2
12,1,0,13
13,0,0,1
1,1,10,2
12,1,0,18
18,0,0,0
0,1,-10,2
16,1,0,20
20,1,0,0
0,0,-10,2
17,0,0,1
1,1,10,2
7,0,0,0
0,1,-10,2
8,1,0,18
18,0,0,1
1,1,10,2
11,1,0,18
18,0,0,0
0,1,-10,2
19,0,0,1
1,0,10,2
12,0,0,0
0,1,-10,2
14,1,0,20
20,0,0,1
1,1,10,2
16,0,0,0
0,1,-10,2
8,1,0,15
15,0,0,0
0,1,-10,2
16,0,0,0
0,1,-10,2
19,0,0,0
0,1,-10,2
14,0,0,0
0,0,-10,2
13,0,0,0
0,1,-10,2
14,0,0,0
0,0,-10,2
15,0,0,0
0,0,-10,2
7,1,0,14
14,0,0,0
0,0,-10,2
12,1,0,0
0,1,-10,2
12,0,0,0
0,0,-10,2
8,1,0,18
18,1,0,0
0,1,-10,2
17,1,0,19
19,1,0,0
0,1,-10,2
5,0,0,0
0,1,-10,2
19,1,0,20
20,1,0,0
0,1,-10,2
13,0,0,0
0,1,-10,2
11,1,0,18
18,1,0,0
0,0,-10,2
18,0,0,1
1,0,10,2
6,1,0,12
12,1,0,15
15,1,0,0
0,1,-10,2
19,1,0,0
0,0,-10,2
19,0,0,1
1,1,10,2
10,1,0,17
17,1,0,0
0,1,-10,2
19,1,0,0
0,1,-10,2
8,1,0,14
14,0,0,0
0,1,-10,2
18,0,0,1
1,0,10,2
6,0,0,1
1,0,10,2
15,1,0,17
17,1,0,0
0,0,-10,2
10,0,0,1
1,0,10,2
19,0,0,1
1,0,10,2
11,0,0,0
0,1,-10,2
13,0,0,0
0,0,-10,2
19,1,0,0
0,1,-10,2
6,0,0,0
0,0,-10,2
15,1,0,17
17,1,0,19
19,0,0,1
1,0,10,2
8,1,0,18
18,1,0,0
0,1,-10,2
11,1,0,15
15,1,0,0
0,1,-10,2
13,1,0,16
16,1,0,0
0,0,-10,2
11,1,0,13
13,1,0,13
13,0,0,0
0,1,-10,2
8,0,0,1
1,0,10,2
18,1,0,19
19,0,0,1
1,1,10,2
11,1,0,15
15,1,0,0
0,1,-10,2
12,0,0,0
0,1,-10,2
10,1,0,18
18,1,0,0
0,0,-10,2
14,1,0,17
17,0,0,1
1,0,10,2
13,0,0,0
0,1,-10,2
13,0,0,0
0,0,-10,2
12,1,0,17
17,0,0,1
1,1,10,2
10,0,0,1
1,1,10,2
8,1,0,19
19,1,0,14
14,0,0,1
1,0,10,2
13,0,0,0
0,0,-10,2
11,0,0,0
0,0,-10,2
14,1,0,0
0,0,-10,2
20,0,0,0
0,0,-10,2
16,1,0,19
19,0,0,1
1,0,10,2
10,0,0,0
0,1,-10,2
14,1,0,0
0,1,-10,2
18,0,0,0
0,0,-10,2
12,1,0,16
16,0,0,0
0,0,-10,2
19,0,0,1
1,0,10,2
13,0,0,1
1,1,10,2
14,1,0,0
0,0,-10,2
16,0,0,1
1,1,10,2
17,0,0,1
1,0,10,2
17,1,0,19
19,0,0,1
1,1,10,2
6,0,0,1
1,1,10,2
10,0,0,1
1,1,10,2
10,0,0,0
0,0,-10,2
12,1,0,18
18,0,0,0
0,1,-10,2
18,0,0,1
1,0,10,2
3,1,0,13
13,1,0,14
14,0,0,0
0,1,-10,2
11,0,0,0
0,1,-10,2
12,1,0,16
16,1,0,0
0,1,-10,2
11,1,0,16
16,0,0,0
0,0,-10,2
10,0,0,0
0,0,-10,2
19,0,0,1
1,0,10,2
12,1,0,13
13,0,0,1
1,1,10,2
11,1,0,13
13,1,0,18
18,0,0,0
0,1,-10,2
8,1,0,19
19,0,0,0
0,1,-10,2
12,0,0,1
1,0,10,2
11,0,0,1
1,0,10,2
8,1,0,18
18,1,0,0
0,0,-10,2
8,1,0,17
17,0,0,0
0,1,-10,2
17,0,0,0
0,1,-10,2
17,1,0,0
0,1,-10,2
18,0,0,0
0,0,-10,2
14,1,0,16
16,0,0,0
0,0,-10,2
12,0,0,1
1,1,10,2
13,1,0,0
0,1,-10,2
11,0,0,0
0,1,-10,2
18,0,0,1
1,1,10,2
10,1,0,20
20,0,0,1
1,0,10,2
15,0,0,0
0,1,-10,2
12,0,0,0
0,1,-10,2
11,1,0,13
13,1,0,18
18,1,0,0
0,1,-10,2
16,0,0,1
1,0,10,2
16,0,0,0
0,1,-10,2
13,0,0,0
0,0,-10,2
11,0,0,0
0,1,-10,2
14,0,0,0
0,0,-10,2
13,1,0,0
0,1,-10,2
17,1,0,0
0,1,-10,2
16,0,0,0
0,1,-10,2
20,0,0,1
1,1,10,2
4,1,0,6
6,1,0,12
12,0,0,0
0,0,-10,2
13,0,0,0
0,0,-10,2
11,1,0,17
17,1,0,12
12,1,0,15
15,1,0,0
0,1,-10,2
15,1,0,17
17,1,0,18
18,1,0,0
0,0,-10,2
14,1,0,20
20,0,0,0
0,1,-10,2
13,0,0,0
0,1,-10,2
5,1,0,7
7,0,0,1
1,1,10,2
8,0,0,0
0,0,-10,2
6,1,0,16
16,1,0,0
0,1,-10,2
17,1,0,19
19,0,0,1
1,0,10,2
15,1,0,0
0,0,-10,2
15,0,0,0
0,0,-10,2
16,0,0,0
0,0,-10,2
15,0,0,1
1,1,10,2
11,0,0,0
0,1,-10,2
14,0,0,0
0,0,-10,2
14,1,0,0
0,1,-10,2
15,1,0,16
16,1,0,0
0,0,-10,2
11,1,0,17
17,0,0,0
0,1,-10,2
13,1,0,20
20,0,0,0
0,0,-10,2
10,0,0,1
1,0,10,2
13,1,0,0
0,1,-10,2
18,0,0,1
1,1,10,2
6,0,0,0
0,1,-10,2
16,1,0,0
0,1,-10,2
12,1,0,0
0,1,-10,2
19,0,0,0
0,1,-10,2
13,0,0,0
0,0,-10,2
16,0,0,1
1,0,10,2
12,0,0,0
0,1,-10,2
14,1,0,20
20,1,0,19
19,1,0,20
20,1,0,0
0,0,-10,2
12,1,0,0
0,1,-10,2
9,1,0,14
14,0,0,0
0,1,-10,2
17,0,0,0
0,1,-10,2
14,1,0,0
0,0,-10,2
13,1,0,12
12,1,0,18
18,0,0,1
1,1,10,2
12,0,0,0
0,0,-10,2
19,1,0,0
0,1,-10,2
13,0,0,1
1,0,10,2
12,1,0,20
20,0,0,1
1,0,10,2
16,0,0,1
1,1,10,2
11,1,0,16
16,0,0,0
0,0,-10,2
13,1,0,15
15,0,0,0
0,1,-10,2
4,0,0,0
0,0,-10,2
15,0,0,1
1,0,10,2
10,1,0,20
20,0,0,1
1,1,10,2
12,1,0,0
0,1,-10,2
9,0,0,1
1,0,10,2
16,0,0,0
0,1,-10,2
10,1,0,17
17,1,0,0
0,1,-10,2
16,0,0,0
0,1,-10,2
19,0,0,1
1,0,10,2
19,0,0,1
1,0,10,2
15,0,0,1
1,0,10,2
13,1,0,0
0,0,-10,2
16,0,0,0
0,1,-10,2
14,0,0,0
0,1,-10,2
14,1,0,19
19,1,0,0
0,0,-10,2
18,0,0,0
0,0,-10,2
12,1,0,18
18,1,0,20
20,1,0,20
20,1,0,0
0,0,-10,2
20,0,0,1
1,0,10,2
19,0,0,0
0,0,-10,2
18,0,0,0
0,0,-10,2
14,1,0,0
0,0,-10,2
13,1,0,0
0,0,-10,2
18,0,0,0
0,0,-10,2
13,1,0,0
0,1,-10,2
13,0,0,0
0,0,-10,2
14,1,0,20
20,0,0,1
1,1,10,2
6,1,0,14
14,0,0,0
0,0,-10,2
18,0,0,1
1,1,10,2
11,0,0,0
0,0,-10,2
19,1,0,0
0,1,-10,2
9,1,0,17
17,0,0,0
0,1,-10,2
19,0,0,1
1,1,10,2
13,0,0,1
1,1,10,2
16,0,0,0
0,1,-10,2
6,1,0,16
16,0,0,0
0,0,-10,2
4,1,0,9
9,1,0,16
16,0,0,0
0,1,-10,2
16,1,0,11
11,0,0,1
1,0,10,2
14,1,0,0
0,1,-10,2
17,1,0,0
0,1,-10,2
14,0,0,0
0,1,-10,2
5,0,0,1
1,0,10,2
18,1,0,0
0,0,-10,2
14,0,0,0
0,1,-10,2
8,1,0,18
18,1,0,0
0,0,-10,2
13,0,0,0
0,0,-10,2
16,1,0,19
19,0,0,1
1,0,10,2
14,1,0,17
17,0,0,0
0,1,-10,2
19,1,0,0
0,1,-10,2
13,0,0,0
0,1,-10,2
18,0,0,1
1,1,10,2
19,0,0,0
0,1,-10,2
14,0,0,0
0,0,-10,2
5,1,0,14
14,0,0,1
1,1,10,2
19,1,0,11
11,0,0,0
0,1,-10,2
12,1,0,13
13,1,0,17
17,1,0,20
20,1,0,0
0,0,-10,2
14,0,0,0
0,0,-10,2
17,0,0,1
1,1,10,2
13,1,0,12
12,0,0,1
1,0,10,2
12,1,0,19
19,1,0,0
0,1,-10,2
11,1,0,17
17,1,0,0
0,1,-10,2
19,0,0,1
1,1,10,2
19,1,0,0
0,1,-10,2
14,1,0,15
15,1,0,20
20,0,0,1
1,1,10,2
13,0,0,0
0,1,-10,2
19,1,0,0
0,1,-10,2
18,1,0,0
0,0,-10,2
8,1,0,15
15,1,0,0
0,1,-10,2
20,1,0,12
12,1,0,17
17,0,0,1
1,0,10,2
18,1,0,19
19,1,0,20
20,0,0,1
1,1,10,2
6,1,0,10
10,1,0,19
19,0,0,1
1,1,10,2
16,0,0,0
0,1,-10,2
11,1,0,15
15,0,0,1
1,0,10,2
13,0,0,0
0,0,-10,2
15,1,0,0
0,1,-10,2
12,0,0,1
1,1,10,2
18,1,0,0
0,1,-10,2
20,1,0,20
20,1,0,0
0,0,-10,2
5,1,0,15
15,0,0,0
0,0,-10,2
12,1,0,0
0,0,-10,2
6,1,0,9
9,1,0,18
18,1,0,0
0,1,-10,2
16,1,0,20
20,1,0,0
0,0,-10,2
15,1,0,0
0,1,-10,2
10,1,0,20
20,0,0,1
1,1,10,2
17,1,0,0
0,0,-10,2
7,0,0,0
0,0,-10,2
15,1,0,0
0,0,-10,2
19,0,0,1
1,0,10,2
8,1,0,13
13,0,0,1
1,1,10,2
18,1,0,0
0,0,-10,2
12,1,0,0
0,0,-10,2
15,0,0,0
0,0,-10,2
15,1,0,0
0,1,-10,2
7,1,0,11
11,1,0,20
20,0,0,1
1,0,10,2
10,1,0,20
20,1,0,0
0,0,-10,2
13,0,0,0
0,1,-10,2
18,0,0,0
0,1,-10,2
20,0,0,0
0,1,-10,2
18,1,0,0
0,1,-10,2
15,1,0,16
16,0,0,0
0,1,-10,2
6,1,0,16
16,0,0,0
0,0,-10,2
19,0,0,1
1,1,10,2
15,1,0,14
14,0,0,0
0,0,-10,2
11,1,0,11
11,0,0,1
1,0,10,2
8,1,0,11
11,1,0,20
20,1,0,0
0,1,-10,2
19,0,0,1
1,0,10,2
15,0,0,0
0,1,-10,2
9,1,0,13
13,1,0,20
20,0,0,1
1,1,10,2
19,0,0,1
1,0,10,2
15,0,0,1
1,1,10,2
8,1,0,14
14,1,0,16
16,0,0,1
1,1,10,2
11,1,0,19
19,1,0,0
0,1,-10,2
14,0,0,0
0,0,-10,2
18,1,0,0
0,1,-10,2
10,0,0,0
0,0,-10,2
15,0,0,0
0,0,-10,2
8,0,0,0
0,0,-10,2
14,1,0,0
0,0,-10,2
14,0,0,0
0,0,-10,2
8,0,0,0
0,0,-10,2
15,1,0,0
0,1,-10,2
9,1,0,14
